id,tarifa_id,importe,importe_base,cases,multiplicador,desvio,hora_min,hora_max,hora_media,diagnostico,muestra_confiable,confirmado_manual,fecha_aparicion,tarifas_normalizadas_id
f9597f66-b059-44d5-9bbe-6082cbdd7340,4dd8d523-3fd5-4586-88d9-d3f51f5f8a1e,5500,5500,4,1,7.4598,0.67,20.28,11.31,CONFIRMADO,false,true,2025-08-21 20:17:15+00,f9597f66-b059-44d5-9bbe-6082cbdd7340
d94f53b4-1b4a-47b2-b7e2-d8f79682efe8,f6e111cd-8c8e-4f78-8515-abfc41e353df,14000,14000,5,1,6.8972,0.77,20.38,12.27,CONFIRMADO,false,true,2025-08-21 20:23:19+00,d94f53b4-1b4a-47b2-b7e2-d8f79682efe8
5920654c-67da-4107-9fbd-722c1a13427b,28752670-d0cd-4af3-89a8-767455c1e392,14000,14000,5,1,6.3748,2.47,22.03,12.66,CONFIRMADO,false,true,2025-08-21 22:02:36+00,5920654c-67da-4107-9fbd-722c1a13427b
5b3f4fd5-d9cc-429b-8805-5237b7943201,80407cef-fc16-4336-8e0b-00b43fdaf7d1,4500,4500,1,1,0,22.95,22.95,22.95,CONFIRMADO,false,true,2025-08-21 22:57:39+00,5b3f4fd5-d9cc-429b-8805-5237b7943201
9e8a22a9-0a9e-4543-9f3c-86f77c593d60,4291a26a-ecd5-4a21-89d3-304cbc4a324a,11500,11500,5,1,3.3798,8.32,18.15,12.22,CONFIRMADO,false,true,2025-08-22 00:24:46+00,9e8a22a9-0a9e-4543-9f3c-86f77c593d60
ad26c6fd-20ad-4b32-9e7a-4c5b50c71d2c,2b517a8c-7eef-4cab-8d1b-4850068fe295,4500,4500,3,1,6.9901,8.17,23.67,18.02,CONFIRMADO,false,true,2025-08-24 23:40:50+00,ad26c6fd-20ad-4b32-9e7a-4c5b50c71d2c
f2a558a4-3c8e-4b2d-a982-ed210a6ec1a3,290982e2-9202-4c0d-8db8-cc8a1a779643,11500,11500,6,1,5.3669,8.58,23.77,17.32,CONFIRMADO,false,true,2025-08-24 23:46:07+00,f2a558a4-3c8e-4b2d-a982-ed210a6ec1a3
079e6d37-67a7-4c65-b3e3-1bfbf0d011f7,ae299f6f-a7f5-46cd-8406-53156ad29d7d,4500,4500,2,1,0.9,8.3,10.1,9.2,CONFIRMADO,false,true,2025-08-27 08:18:02+00,079e6d37-67a7-4c65-b3e3-1bfbf0d011f7
923ebe53-0f9e-49fb-bc3c-a2decda9b7ba,6a2c5f50-cc68-4e66-8fa0-d65db2ef4a3c,5500,5500,1,1,0,16.98,16.98,16.98,CONFIRMADO,false,true,2025-08-27 16:59:45+00,923ebe53-0f9e-49fb-bc3c-a2decda9b7ba
c87791f9-b9ab-4b41-b4cb-2d10ff3a1dc4,290982e2-9202-4c0d-8db8-cc8a1a779643,14500,14500,10,1,6.6107,2.5,22.33,13.59,CONFIRMADO,false,true,2025-09-03 12:19:59+00,c87791f9-b9ab-4b41-b4cb-2d10ff3a1dc4
01e40771-76c6-4b47-84cc-88106dffd562,b4611a41-9d5e-4176-84c6-04d9e994d1c7,5500,5500,5,1,1.258,11.15,14.52,12.7,CONFIRMADO,false,true,2025-09-04 11:09:34+00,01e40771-76c6-4b47-84cc-88106dffd562
