Tarifa_Normalizada_ID,Peaje_ID,Estacion_ID,Peaje_Nombre,Estacion_Nombre,Categoria,Categoria_Calculated,Categoria_Normalizada,fecha_aparicion,Importe,Importe_Base,Cases,Multiplicador,Desvio,Hora_Min,Hora_Max,Hora_Media,Patron,Diagnostico,Status,Muestra_Confiable,Confirmado_Manual,created_at
f9597f66-b059-44d5-9bbe-6082cbdd7340,c4d1ffb5-7363-4291-84be-9da3665f002a,0f37f626-ea62-464a-987d-e85de6bbd664,UNIDAD EJECUTORA (SANTA FE),SAN LORENZO NORTE,6,,6,2025-08-21 20:17:15+00,5500,5500,4,1,7.4598,0.67,20.28,11.31,B,CONFIRMADO,NO_PICO,false,true,2026-08-25 20:36:10.465985+00
d94f53b4-1b4a-47b2-b7e2-d8f79682efe8,c4d1ffb5-7363-4291-84be-9da3665f002a,14264684-28f7-40be-ab72-79e4dd0efcdf,UNIDAD EJECUTORA (SANTA FE),ALDAO,6,,6,2025-08-21 20:23:19+00,14000,14000,5,1,6.8972,0.77,20.38,12.27,B,CONFIRMADO,NO_PICO,false,true,2026-08-25 20:36:10.465985+00
5920654c-67da-4107-9fbd-722c1a13427b,c4d1ffb5-7363-4291-84be-9da3665f002a,60014adb-62f4-4ad9-86a0-50bd36efd1e3,UNIDAD EJECUTORA (SANTA FE),TRONCAL SAUCE VIEJO,6,,6,2025-08-21 22:02:36+00,14000,14000,5,1,6.3748,2.47,22.03,12.66,B,CONFIRMADO,NO_PICO,false,true,2026-08-25 20:36:10.465985+00
5b3f4fd5-d9cc-429b-8805-5237b7943201,c4d1ffb5-7363-4291-84be-9da3665f002a,f57115a3-138f-486b-a2a0-731f88032e7f,UNIDAD EJECUTORA (SANTA FE),ACCESO SAUCE VIEJO,5,,5,2025-08-21 22:57:39+00,4500,4500,1,1,0,22.95,22.95,22.95,B,CONFIRMADO,NO_PICO,false,true,2026-08-26 19:15:15.63502+00
9e8a22a9-0a9e-4543-9f3c-86f77c593d60,c4d1ffb5-7363-4291-84be-9da3665f002a,60014adb-62f4-4ad9-86a0-50bd36efd1e3,UNIDAD EJECUTORA (SANTA FE),TRONCAL SAUCE VIEJO,5,,5,2025-08-22 00:24:46+00,11500,11500,5,1,3.3798,8.32,18.15,12.22,B,CONFIRMADO,NO_PICO,false,true,2026-08-25 20:36:10.465985+00
ad26c6fd-20ad-4b32-9e7a-4c5b50c71d2c,c4d1ffb5-7363-4291-84be-9da3665f002a,0f37f626-ea62-464a-987d-e85de6bbd664,UNIDAD EJECUTORA (SANTA FE),SAN LORENZO NORTE,5,,5,2025-08-24 23:40:50+00,4500,4500,3,1,6.9901,8.17,23.67,18.02,B,CONFIRMADO,NO_PICO,false,true,2026-08-25 20:36:10.465985+00
f2a558a4-3c8e-4b2d-a982-ed210a6ec1a3,c4d1ffb5-7363-4291-84be-9da3665f002a,14264684-28f7-40be-ab72-79e4dd0efcdf,UNIDAD EJECUTORA (SANTA FE),ALDAO,5,,5,2025-08-24 23:46:07+00,11500,11500,6,1,5.3669,8.58,23.77,17.32,B,CONFIRMADO,NO_PICO,false,true,2026-08-25 20:36:10.465985+00
079e6d37-67a7-4c65-b3e3-1bfbf0d011f7,c4d1ffb5-7363-4291-84be-9da3665f002a,aa90f1c4-b2e3-43a1-addc-783ae862c18c,UNIDAD EJECUTORA (SANTA FE),SAN LORENZO SUR,5,,5,2025-08-27 08:18:02+00,4500,4500,2,1,0.9,8.3,10.1,9.2,B,CONFIRMADO,NO_PICO,false,true,2026-08-25 20:36:10.465985+00
923ebe53-0f9e-49fb-bc3c-a2decda9b7ba,c4d1ffb5-7363-4291-84be-9da3665f002a,7718d26d-e724-415a-9e76-841683d3a774,UNIDAD EJECUTORA (SANTA FE),SANTO TOME,6,,6,2025-08-27 16:59:45+00,5500,5500,1,1,0,16.98,16.98,16.98,B,CONFIRMADO,NO_PICO,false,true,2026-08-25 20:36:10.465985+00
c87791f9-b9ab-4b41-b4cb-2d10ff3a1dc4,c4d1ffb5-7363-4291-84be-9da3665f002a,14264684-28f7-40be-ab72-79e4dd0efcdf,UNIDAD EJECUTORA (SANTA FE),ALDAO,5,,5,2025-09-03 12:19:59+00,14500,14500,10,1,6.6107,2.5,22.33,13.59,B,CONFIRMADO,NO_PICO,false,true,2026-08-25 20:36:10.465985+00
01e40771-76c6-4b47-84cc-88106dffd562,c4d1ffb5-7363-4291-84be-9da3665f002a,7718d26d-e724-415a-9e76-841683d3a774,UNIDAD EJECUTORA (SANTA FE),SANTO TOME,5,,5,2025-09-04 11:09:34+00,5500,5500,5,1,1.258,11.15,14.52,12.7,B,CONFIRMADO,NO_PICO,false,true,2026-08-25 20:36:10.465985+00
afa74c05-1912-4797-85ad-9cdb9e8982ca,c4d1ffb5-7363-4291-84be-9da3665f002a,60014adb-62f4-4ad9-86a0-50bd36efd1e3,UNIDAD EJECUTORA (SANTA FE),TRONCAL SAUCE VIEJO,5,,5,2025-09-04 18:38:30+00,14500,14500,7,1,4.6015,4.65,19.75,14.9,B,CONFIRMADO,NO_PICO,false,true,2026-08-25 20:36:10.465985+00
352eb25d-d777-4014-a318-b2af6e414c4c,c4d1ffb5-7363-4291-84be-9da3665f002a,aa90f1c4-b2e3-43a1-addc-783ae862c18c,UNIDAD EJECUTORA (SANTA FE),SAN LORENZO SUR,5,,5,2025-09-15 12:03:06+00,5500,5500,2,1,1.025,10,12.05,11.03,B,CONFIRMADO,NO_PICO,false,true,2026-08-25 20:36:10.465985+00
8e2eca1e-1a7b-4e5f-80ad-f02f0a93623f,c4d1ffb5-7363-4291-84be-9da3665f002a,14264684-28f7-40be-ab72-79e4dd0efcdf,UNIDAD EJECUTORA (SANTA FE),ALDAO,6,,6,2025-09-19 22:45:07+00,17500,17500,2,1,5.025,12.7,22.75,17.73,B,CONFIRMADO,NO_PICO,false,true,2026-08-25 20:36:10.465985+00
1b2f2caf-1435-4333-affd-8a6e97c6f0c7,c4d1ffb5-7363-4291-84be-9da3665f002a,60014adb-62f4-4ad9-86a0-50bd36efd1e3,UNIDAD EJECUTORA (SANTA FE),TRONCAL SAUCE VIEJO,6,,6,2025-09-20 08:37:50+00,17500,17500,2,1,1.2583,8.62,11.13,9.88,B,CONFIRMADO,NO_PICO,false,true,2026-08-25 20:36:10.465985+00
32877727-ea21-4694-ad7a-5ea740aa1157,c4d1ffb5-7363-4291-84be-9da3665f002a,60014adb-62f4-4ad9-86a0-50bd36efd1e3,UNIDAD EJECUTORA (SANTA FE),TRONCAL SAUCE VIEJO,1,,1,2025-09-25 18:09:43+00,2500,2500,1,1,0,9.03,9.03,9.03,B,CONFIRMADO,NO_PICO,false,true,2026-08-25 20:38:26.359879+00
