id,file_name,patente,tarifa,categoria,concesion
00027e96-2671-4196-9963-6c4b484dfa95,pasadas_2026-07-23_5009A02044703.csv,AH351RT,15255.79,9,AUSA
0009cedd-4e0a-4173-868e-fbc78ed9532d,pasadas_2026-07-08_5009A02027769.csv,AB456CQ,6044.83,8,AUSA
002f16dc-35b9-41e5-915c-6aeb9a63f300,pasadas_2026-07-16_493556.csv,AF993HK,3976.59,6,AUSOL
005e08b2-35ef-4875-85de-af05476e697a,pasadas_2026-07-22_1947768.csv,AD625QB,17400.00,5,SANTAFE
009b717a-5a0e-4d2c-9efe-cc15f17dcfe2,pasadas_2026-07-29_5009A02060191.csv,AF436WI,15255.79,7,AUSA
00e3617f-a698-4b02-862e-8ce074db12b0,pasadas_2026-07-29_5009A02052902.csv,AI348TS,2035.11,2,AUSA
00ec93ba-7c2e-4f47-8fd9-ca3ad4676398,pasadas_2026-07-08_5009A02027769.csv,AB456CQ,16982.69,8,AUSA
01652fe1-d8b5-46bb-9ed0-e1fa14326ed8,pasadas_2026-07-15_5009A02037803.csv,AC264UA,15255.79,7,AUSA
01693c27-be66-4412-9018-0a516ba135f6,pasadas_2026-07-16_493556.csv,AD625QB,3976.59,6,AUSOL
0171484a-dc35-44e9-a00b-facd17773ca3,pasadas_2026-07-16_343555.csv,AD985XP,4771.95,6,AUTO-OESTE
019cac13-88b9-4978-a318-d14a46912341,pasadas_2026-07-16_343555.csv,OWG130,4771.95,6,AUTO-OESTE
019def71-1c85-493a-973f-5dcc0888a042,pasadas_2026-07-16_343555.csv,AH543IQ,5964.94,7,AUTO-OESTE
01dba0b8-b9cf-4306-87c7-9a4f8afc50f6,pasadas_2026-07-03_3313955.csv,AE454PH,6500.00,7,CVSA
01f5bdcb-7cc8-488b-a4df-6af62f7ca754,pasadas_2026-07-22_1947768.csv,AG507DK,17400.00,5,SANTAFE
02051192-e85a-47a1-a7f6-d187f0148468,pasadas_2026-07-29_5009A02060191.csv,AH729QW,15255.79,9,AUSA
0218ea74-d0af-4951-94a3-bf2a82e5903d,pasadas_2026-07-29_5009A02060191.csv,AB456CQ,9935.82,7,AUSA
02528402-b0b2-4e99-85ba-5ce0cd36308b,pasadas_2026-07-08_5009A02027769.csv,AD985XP,5468.98,4,AUSA
0257c8fa-6083-4fa6-ab02-433768d6cfb7,pasadas_2026-07-16_493556.csv,AD667DM,3976.59,6,AUSOL
0258cfc7-26b0-431c-a484-2d34ec23c3f4,pasadas_2026-07-15_5009A02037803.csv,AH185KI,9935.82,9,AUSA
026f9c48-1622-4e01-af81-0a629983cd8a,pasadas_2026-07-03_3305880.csv,AI178ER,6500.00,7,CVSA
02ca0c9b-cd75-4da7-9ac0-d90c0ff90b93,pasadas_2026-07-15_5364164.csv,AG916MK,13466.55,7,AUBASA
031630b3-6a27-43a9-a6b7-486185f19345,pasadas_2026-07-29_5009A02052902.csv,AF993HA,6044.83,9,AUSA
03274bc7-f7b3-484b-a4bd-efdc07bfc879,pasadas_2026-07-16_343555.csv,AD625QA,3976.59,6,AUTO-OESTE
03426aff-a71e-4e90-a7be-df3436325bbe,pasadas_2026-07-08_5009A02027769.csv,AB633TZ,15255.79,7,AUSA
034bd015-40c3-4514-9c1e-e95f4831bb47,pasadas_2026-07-16_343555.csv,AD625QA,4771.95,6,AUTO-OESTE
039babe5-5acc-48f7-993f-db2347e9cefe,pasadas_2026-07-29_5009A02060191.csv,AB247VR,9935.82,7,AUSA
03c5a0e0-97d4-4a43-a6cf-329586ce6ec5,pasadas_2026-07-16_343555.csv,AB633TZ,3976.59,6,AUTO-OESTE
