"Cantidad","Descripcion","Importe","Numero Factura","Date"
"9","PASOS JUNIN - RUTA 188 KM 152,20","50826.45","0104-13735996","2026-05-14"
"1","IVA 21%","10673.55","0104-13735996","2026-05-14"
"1","Percepción IIBB (PBA)","203.31","0104-13735996","2026-05-14"
"1","Percepción IIBB (CABA)","508.26","0104-13735996","2026-05-14"
"4","PASOS JUNIN (R7) - RUTA 7 KM. 272","23553.72","0104-13716285","2026-05-14"
"13","PASOS VILLA ESPIL - RUTA 7 KM. 88","74380.17","0104-13716285","2026-05-14"
"1","IVA 21%","20566.11","0104-13716285","2026-05-14"
"1","Percepción IIBB (PBA)","391.74","0104-13716285","2026-05-14"
"1","Percepción IIBB (CABA)","979.34","0104-13716285","2026-05-14"
"2","PASOS CERES - RUTA 34 KM 378","9917.36","0104-13610282","2026-05-14"
"1","PASOS FRANCK - RUTA 19 KM 20","4958.68","0104-13610282","2026-05-14"
"1","PASOS SAN VICENTE - RUTA 34 KM 160","4958.68","0104-13610282","2026-05-14"
"1","IVA 21%","4165.28","0104-13610282","2026-05-14"
"1","Percepción IIBB (PBA)","79.34","0104-13610282","2026-05-14"
"1","Percepción IIBB (CABA)","198.35","0104-13610282","2026-05-14"
"8","PASOS CARCARAÑA - AUTOVIA ROSARIO - CORDOBA KM. 356","42148.76","0104-13648253","2026-05-14"
"9","PASOS JAMES CRAIK - AUTOVIA ROSARIO - CORDOBA KM. 595","47107.44","0104-13648253","2026-05-14"
"49","PASOS LAGOS - RUTA 9 KM. 272","255371.90","0104-13648253","2026-05-14"
"2","PASOS NO FACTURADOS: AC812DO - RUTA 9 KM. 95","2479.34","0104-13648253","2026-05-14"
"335","PASOS ZARATE - RUTA 9 KM. 95","1574380.17","0104-13648253","2026-05-14"
"1","IVA 21%","403512.39","0104-13648253","2026-05-14"
"1","Percepción IIBB (PBA)","7685.95","0104-13648253","2026-05-14"
"1","Percepción IIBB (CABA)","19214.88","0104-13648253","2026-05-14"
"30","PASOS COLONIA VICTORIA - RN 12 - Km 1551 - C. VICTORIA - MISIONES","156198.35","0104-13729884","2026-05-14"
"15","PASOS SANTA ANA - RN 12 - Km 1375 - SANTA ANA - MISIONES","88016.53","0104-13729884","2026-05-14"
"1","IVA 21%","51285.12","0104-13729884","2026-05-14"
"1","Percepción IIBB (PBA)","976.86","0104-13729884","2026-05-14"
"1","Percepción IIBB (CABA)","2442.15","0104-13729884","2026-05-14"
"6","PASOS CAÑUELAS - RUTA 3 KM. 76","32231.40","0104-13702924","2026-05-14"
"1","PASOS EL DORADO - RUTA 226 KM. 31","6198.35","0104-13702924","2026-05-14"
"5","PASOS HINOJO - RUTA 226 KM. 276","30991.74","0104-13702924","2026-05-14"
"5","PASOS TANDIL (VASCONIA) - RUTA 226 KM. 153","24793.39","0104-13702924","2026-05-14"
"3","PASOS URIBELARREA - RUTA 205 KM. 83","16115.70","0104-13702924","2026-05-14"
"1","IVA 21%","23169.42","0104-13702924","2026-05-14"
"1","Percepción IIBB (PBA)","441.32","0104-13702924","2026-05-14"
"1","Percepción IIBB (CABA)","1103.31","0104-13702924","2026-05-14"
"23","PASOS 9 DE JULIO - RUTA 5 KM. 244","126446.28","0104-13797421","2026-05-15"
"27","PASOS OLIVERA - RUTA 5 KM. 86","138842.98","0104-13797421","2026-05-15"
"17","PASOS TRENQUE LAUQUEN - RUTA 5 KM 429","96694.21","0104-13797421","2026-05-15"
"1","IVA 21%","76016.53","0104-13797421","2026-05-15"
"1","Percepción IIBB (PBA)","1447.93","0104-13797421","2026-05-15"
"1","Percepción IIBB (CABA)","3619.83","0104-13797421","2026-05-15"
"62","PASOS LARENA - RUTA 8 KM 65","252892.56","0104-13751042","2026-05-14"
"10","PASOS SOLIS - RUTA 8 KM 102","50826.45","0104-13751042","2026-05-14"
"1","IVA 21%","63780.99","0104-13751042","2026-05-14"
"1","Percepción IIBB (PBA)","1214.88","0104-13751042","2026-05-14"
"1","Percepción IIBB (CABA)","3037.19","0104-13751042","2026-05-14"
"1","CONSUMOS EZEIZA - PARKING AEROPUERTO EZEIZA","8400.00","0468-00629680","2026-05-14"
"1","Bonificacion parking 25.00 %","-1735.54","0468-00629680","2026-05-14"
"1","Bonificacion (IVA 21%)","-364.46","0468-00629680","2026-05-14"
"1","Percepción IIBB (PBA)","20.83","0468-00629680","2026-05-14"
"1","Percepción IIBB (CABA)","52.07","0468-00629680","2026-05-14"
"2","Reintegro frecuencia ZARATE (18 - 21)","371.90","0104-00071812","2026-05-14"
"1","IVA 21%","78.10","0104-00071812","2026-05-14"
