"Cantidad","Descripcion","Importe","Numero Factura","Date"
"1","PASOS SAN VICENTE - RUTA 34 KM 160","4159.92","0104-11916346","2026-01-14"
"1","IVA 21%","873.58","0104-11916346","2026-01-14"
"1","Percepción IIBB (PBA)","16.64","0104-11916346","2026-01-14"
"1","Percepción IIBB (CABA)","41.60","0104-11916346","2026-01-14"
"7","PASOS VILLA ESPIL - RUTA 7 KM. 88","35359.32","0104-11983896","2026-01-14"
"1","IVA 21%","7425.46","0104-11983896","2026-01-14"
"1","Percepción IIBB (PBA)","141.44","0104-11983896","2026-01-14"
"1","Percepción IIBB (CABA)","353.59","0104-11983896","2026-01-14"
"20","PASOS COLONIA VICTORIA - RN 12 - Km 1551 - C. VICTORIA - MISIONES","80078.46","0104-12062645","2026-01-15"
"1","PASOS ITUZAINGO - RN 12 - Km 1262 - ITUZINGÓ - CORRIENTES","4159.92","0104-12062645","2026-01-15"
"1","PASOS RIACHUELO - RN 12 - Km 1014 - RIACHUELO - CORRIENTES","4159.92","0104-12062645","2026-01-15"
"26","PASOS SANTA ANA - RN 12 - Km 1375 - SANTA ANA - MISIONES","117517.70","0104-12062645","2026-01-15"
"1","IVA 21%","43242.36","0104-12062645","2026-01-15"
"1","Percepción IIBB (PBA)","823.66","0104-12062645","2026-01-15"
"1","Percepción IIBB (CABA)","2059.16","0104-12062645","2026-01-15"
"1","PASOS URIBELARREA - RUTA 205 KM. 83","2079.96","0104-11955909","2026-01-14"
"1","IVA 21%","436.79","0104-11955909","2026-01-14"
"1","Percepción IIBB (CABA)","20.80","0104-11955909","2026-01-14"
"34","PASOS 9 DE JULIO - RUTA 5 KM. 244","158076.93","0104-12001176","2026-01-14"
"28","PASOS OLIVERA - RUTA 5 KM. 86","126877.54","0104-12001176","2026-01-14"
"30","PASOS TRENQUE LAUQUEN - RUTA 5 KM 429","140397.28","0104-12001176","2026-01-14"
"1","IVA 21%","89323.86","0104-12001176","2026-01-14"
"1","Percepción IIBB (PBA)","1701.41","0104-12001176","2026-01-14"
"1","Percepción IIBB (CABA)","4253.52","0104-12001176","2026-01-14"
"10","PASOS CARCARAÑA - AUTOVIA ROSARIO - CORDOBA KM. 356","46799.10","0104-12093179","2026-01-15"
"9","PASOS JAMES CRAIK - AUTOVIA ROSARIO - CORDOBA KM. 595","39519.24","0104-12093179","2026-01-15"
"45","PASOS LAGOS - RUTA 9 KM. 272","188236.36","0104-12093179","2026-01-15"
"236","PASOS ZARATE - RUTA 9 KM. 95","864223.44","0104-12093179","2026-01-15"
"1","IVA 21%","239143.41","0104-12093179","2026-01-15"
"1","Percepción IIBB (PBA)","4555.11","0104-12093179","2026-01-15"
"1","Percepción IIBB (CABA)","11387.78","0104-12093179","2026-01-15"
"7","PASOS JUNIN - RUTA 188 KM 152,20","32239.37","0104-12065731","2026-01-15"
"1","IVA 21%","6770.27","0104-12065731","2026-01-15"
"1","Percepción IIBB (PBA)","128.96","0104-12065731","2026-01-15"
"1","Percepción IIBB (CABA)","322.39","0104-12065731","2026-01-15"
"27","PASOS LARENA - RUTA 8 KM 65","97758.10","0104-12049811","2026-01-15"
"4","PASOS SAMPACHO - RUTA 8 KM 655","16639.67","0104-12049811","2026-01-15"
"20","PASOS SOLIS - RUTA 8 KM 102","77998.46","0104-12049811","2026-01-15"
"4","PASOS V. TUERTO (RN8) - RUTA 8 KM 381","18719.64","0104-12049811","2026-01-15"
"1","IVA 21%","44334.33","0104-12049811","2026-01-15"
"1","Percepción IIBB (PBA)","844.46","0104-12049811","2026-01-15"
"1","Percepción IIBB (CABA)","2111.16","0104-12049811","2026-01-15"
"4","Reintegro frecuencia ZARATE (18 - 21)","623.99","0104-00063415","2026-01-15"
"8","Reintegro frecuencia ZARATE (22 - 29)","2079.97","0104-00063415","2026-01-15"
"1","Reintegro frecuencia ZARATE (30 - 1000000)","363.99","0104-00063415","2026-01-15"
"1","IVA 21%","644.27","0104-00063415","2026-01-15"
