"Cantidad","Descripcion","Importe","Numero Factura","Date"
"8","PASOS JUNIN - RUTA 188 KM 152,20","37439.27","0104-12215062","2026-01-29"
"1","IVA 21%","7862.25","0104-12215062","2026-01-29"
"1","Percepción IIBB (PBA)","149.76","0104-12215062","2026-01-29"
"1","Percepción IIBB (CABA)","374.39","0104-12215062","2026-01-29"
"30","PASOS COLONIA VICTORIA - RN 12 - Km 1551 - C. VICTORIA - MISIONES","115437.79","0104-12294871","2026-01-29"
"34","PASOS SANTA ANA - RN 12 - Km 1375 - SANTA ANA - MISIONES","144557.18","0104-12294871","2026-01-29"
"1","IVA 21%","54598.95","0104-12294871","2026-01-29"
"1","Percepción IIBB (PBA)","1039.98","0104-12294871","2026-01-29"
"1","Percepción IIBB (CABA)","2599.95","0104-12294871","2026-01-29"
"1","PASOS VILLA ESPIL - RUTA 7 KM. 88","5199.90","0104-12204257","2026-01-29"
"1","IVA 21%","1091.98","0104-12204257","2026-01-29"
"1","Percepción IIBB (PBA)","20.80","0104-12204257","2026-01-29"
"1","Percepción IIBB (CABA)","52.00","0104-12204257","2026-01-29"
"12","PASOS LARENA - RUTA 8 KM 65","45759.11","0104-12166518","2026-01-29"
"2","PASOS SAMPACHO - RUTA 8 KM 655","8319.83","0104-12166518","2026-01-29"
"25","PASOS SOLIS - RUTA 8 KM 102","100878.02","0104-12166518","2026-01-29"
"4","PASOS V. TUERTO (RN8) - RUTA 8 KM 381","17679.65","0104-12166518","2026-01-29"
"1","IVA 21%","36253.69","0104-12166518","2026-01-29"
"1","Percepción IIBB (PBA)","690.55","0104-12166518","2026-01-29"
"1","Percepción IIBB (CABA)","1726.37","0104-12166518","2026-01-29"
"23","PASOS 9 DE JULIO - RUTA 5 KM. 244","99838.04","0104-12183888","2026-01-29"
"24","PASOS OLIVERA - RUTA 5 KM. 86","93598.17","0104-12183888","2026-01-29"
"22","PASOS TRENQUE LAUQUEN - RUTA 5 KM 429","98798.07","0104-12183888","2026-01-29"
"1","IVA 21%","61369.21","0104-12183888","2026-01-29"
"1","Percepción IIBB (PBA)","1168.94","0104-12183888","2026-01-29"
"1","Percepción IIBB (CABA)","2922.34","0104-12183888","2026-01-29"
"3","PASOS FRANCK - RUTA 19 KM 20","13574.69","0104-12229289","2026-01-29"
"2","PASOS SAN VICENTE - RUTA 34 KM 160","8319.83","0104-12229289","2026-01-29"
"1","IVA 21%","4597.86","0104-12229289","2026-01-29"
"1","Percepción IIBB (PBA)","87.58","0104-12229289","2026-01-29"
"1","Percepción IIBB (CABA)","218.95","0104-12229289","2026-01-29"
"7","PASOS CAÑUELAS - RUTA 3 KM. 76","33279.36","0104-12323102","2026-01-30"
"7","PASOS HINOJO - RUTA 226 KM. 276","35359.32","0104-12323102","2026-01-30"
"1","IVA 21%","14414.12","0104-12323102","2026-01-30"
"1","Percepción IIBB (PBA)","274.55","0104-12323102","2026-01-30"
"1","Percepción IIBB (CABA)","686.39","0104-12323102","2026-01-30"
"15","PASOS CARCARAÑA - AUTOVIA ROSARIO - CORDOBA KM. 356","69678.64","0104-12242389","2026-01-29"
"17","PASOS JAMES CRAIK - AUTOVIA ROSARIO - CORDOBA KM. 595","79038.46","0104-12242389","2026-01-29"
"66","PASOS LAGOS - RUTA 9 KM. 272","294314.28","0104-12242389","2026-01-29"
"359","PASOS ZARATE - RUTA 9 KM. 95","1359253.82","0104-12242389","2026-01-29"
"1","IVA 21%","378479.90","0104-12242389","2026-01-29"
"1","Percepción IIBB (PBA)","7209.14","0104-12242389","2026-01-29"
"1","Percepción IIBB (CABA)","18022.85","0104-12242389","2026-01-29"
"7","Reintegro frecuencia ZARATE (18 - 21)","1091.98","0104-00064243","2026-01-29"
"1","Reintegro frecuencia ZARATE (22 - 29)","260.00","0104-00064243","2026-01-29"
"1","IVA 21%","283.92","0104-00064243","2026-01-29"
