"Cantidad","Descripcion","Importe","Numero Factura","Date"
"6","PASOS JUNIN - RUTA 188 KM 152,20","30159.42","0104-12559752","2026-02-15"
"1","IVA 21%","6333.48","0104-12559752","2026-02-15"
"1","Percepción IIBB (PBA)","120.64","0104-12559752","2026-02-15"
"1","Percepción IIBB (CABA)","301.59","0104-12559752","2026-02-15"
"53","PASOS LARENA - RUTA 8 KM 65","215275.81","0104-12348960","2026-02-14"
"2","PASOS SAMPACHO - RUTA 8 KM 655","9359.82","0104-12348960","2026-02-14"
"24","PASOS SOLIS - RUTA 8 KM 102","108157.89","0104-12348960","2026-02-14"
"5","PASOS V. TUERTO (RN8) - RUTA 8 KM 381","22879.55","0104-12348960","2026-02-14"
"1","IVA 21%","74691.35","0104-12348960","2026-02-14"
"1","Percepción IIBB (PBA)","1422.69","0104-12348960","2026-02-14"
"1","Percepción IIBB (CABA)","3556.73","0104-12348960","2026-02-14"
"3","PASOS DEVOTO - RUTA 19 KM 142","14614.68","0104-12385809","2026-02-14"
"1","PASOS FRANCK - RUTA 19 KM 20","5199.90","0104-12385809","2026-02-14"
"3","PASOS SAN VICENTE - RUTA 34 KM 160","12479.75","0104-12385809","2026-02-14"
"1","IVA 21%","6781.81","0104-12385809","2026-02-14"
"1","Percepción IIBB (PBA)","129.18","0104-12385809","2026-02-14"
"1","Percepción IIBB (CABA)","322.94","0104-12385809","2026-02-14"
"11","PASOS CAÑUELAS - RUTA 3 KM. 76","51998.99","0104-12464541","2026-02-14"
"9","PASOS HINOJO - RUTA 226 KM. 276","43679.16","0104-12464541","2026-02-14"
"1","IVA 21%","20092.41","0104-12464541","2026-02-14"
"1","Percepción IIBB (PBA)","382.71","0104-12464541","2026-02-14"
"1","Percepción IIBB (CABA)","956.78","0104-12464541","2026-02-14"
"29","PASOS CARCARAÑA - AUTOVIA ROSARIO - CORDOBA KM. 356","129997.48","0104-12410844","2026-02-14"
"17","PASOS JAMES CRAIK - AUTOVIA ROSARIO - CORDOBA KM. 595","80078.46","0104-12410844","2026-02-14"
"112","PASOS LAGOS - RUTA 9 KM. 272","500230.28","0104-12410844","2026-02-14"
"3","PASOS NO FACTURADOS: AC812DO - RUTA 9 KM. 95","3119.95","0104-12410844","2026-02-14"
"387","PASOS ZARATE - RUTA 9 KM. 95","1555809.92","0104-12410844","2026-02-14"
"1","IVA 21%","476539.58","0104-12410844","2026-02-14"
"1","Percepción IIBB (PBA)","9076.94","0104-12410844","2026-02-14"
"1","Percepción IIBB (CABA)","22692.36","0104-12410844","2026-02-14"
"34","PASOS COLONIA VICTORIA - RN 12 - Km 1551 - C. VICTORIA - MISIONES","144557.22","0104-12552173","2026-02-15"
"10","PASOS ITUZAINGO - RN 12 - Km 1262 - ITUZINGÓ - CORRIENTES","47839.07","0104-12552173","2026-02-15"
"10","PASOS PUENTE GRAL. BELGRANO - RN 16 - Km 5.00 - BARRANQUERAS - CHACO","47839.07","0104-12552173","2026-02-15"
"1","PASOS RIACHUELO - RN 12 - Km 1014 - RIACHUELO - CORRIENTES","4159.92","0104-12552173","2026-02-15"
"12","PASOS SANTA ANA - RN 12 - Km 1375 - SANTA ANA - MISIONES","55118.94","0104-12552173","2026-02-15"
"1","IVA 21%","62898.00","0104-12552173","2026-02-15"
"1","Percepción IIBB (PBA)","1198.06","0104-12552173","2026-02-15"
"1","Percepción IIBB (CABA)","2995.14","0104-12552173","2026-02-15"
"3","PASOS JUNIN (R7) - RUTA 7 KM. 272","15599.70","0104-12534297","2026-02-14"
"7","PASOS VILLA ESPIL - RUTA 7 KM. 88","34319.34","0104-12534297","2026-02-14"
"1","IVA 21%","10483.00","0104-12534297","2026-02-14"
"1","Percepción IIBB (PBA)","199.68","0104-12534297","2026-02-14"
"1","Percepción IIBB (CABA)","499.19","0104-12534297","2026-02-14"
"28","PASOS 9 DE JULIO - RUTA 5 KM. 244","125837.55","0104-12512197","2026-02-14"
"29","PASOS OLIVERA - RUTA 5 KM. 86","115437.76","0104-12512197","2026-02-14"
"25","PASOS TRENQUE LAUQUEN - RUTA 5 KM 429","114397.78","0104-12512197","2026-02-14"
"1","IVA 21%","74691.34","0104-12512197","2026-02-14"
"1","Percepción IIBB (PBA)","1422.69","0104-12512197","2026-02-14"
"1","Percepción IIBB (CABA)","3556.73","0104-12512197","2026-02-14"
