"Cantidad","Descripcion","Importe","Numero Factura","Date"
"9","PASOS JUNIN - RUTA 188 KM 152,20","53305.79","0104-14597101","2026-07-14"
"1","IVA 21%","11194.21","0104-14597101","2026-07-14"
"1","Percepción IIBB (PBA)","213.22","0104-14597101","2026-07-14"
"1","Percepción IIBB (CABA)","533.06","0104-14597101","2026-07-14"
"31","PASOS LARENA - RUTA 8 KM 65","132644.63","0104-14441501","2026-07-14"
"8","PASOS SOLIS - RUTA 8 KM 102","38429.75","0104-14441501","2026-07-14"
"2","PASOS V. TUERTO (RN8) - RUTA 8 KM 381","9917.36","0104-14441501","2026-07-14"
"1","IVA 21%","38008.26","0104-14441501","2026-07-14"
"1","Percepción IIBB (PBA)","723.97","0104-14441501","2026-07-14"
"1","Percepción IIBB (CABA)","1809.92","0104-14441501","2026-07-14"
"1","PASOS ISLA LA DESEADA - RUTA 174 KM 5,2 (Pte. Rosario-Victoria)","4313.70","0002-00052870","2026-07-13"
"1","IVA 21%","905.88","0002-00052870","2026-07-13"
"1","Percepción IIBB (PBA)","17.25","0002-00052870","2026-07-13"
"1","Percepción IIBB (CABA)","43.14","0002-00052870","2026-07-13"
"1","PASOS CERES - RUTA 34 KM 378","4958.68","0104-14473312","2026-07-14"
"5","PASOS DEVOTO - RUTA 19 KM 142","27272.73","0104-14473312","2026-07-14"
"11","PASOS FRANCK - RUTA 19 KM 20","61983.47","0104-14473312","2026-07-14"
"5","PASOS SAN VICENTE - RUTA 34 KM 160","26033.06","0104-14473312","2026-07-14"
"1","IVA 21%","25252.06","0104-14473312","2026-07-14"
"1","Percepción IIBB (PBA)","480.99","0104-14473312","2026-07-14"
"1","Percepción IIBB (CABA)","1202.48","0104-14473312","2026-07-14"
"3","PASOS JUNIN (R7) - RUTA 7 KM. 272","18595.04","0104-14581113","2026-07-14"
"12","PASOS VILLA ESPIL - RUTA 7 KM. 88","70661.16","0104-14581113","2026-07-14"
"1","IVA 21%","18743.80","0104-14581113","2026-07-14"
"1","Percepción IIBB (PBA)","357.02","0104-14581113","2026-07-14"
"1","Percepción IIBB (CABA)","892.56","0104-14581113","2026-07-14"
