"Cantidad","Descripcion","Importe","Numero Factura","Date"
"4","PASOS ISLA LA DESEADA - RUTA 174 KM 5,2 (Pte. Rosario-Victoria)","125490.00","0002-00066695","2026-08-13"
"1","IVA 21%","26352.90","0002-00066695","2026-08-13"
"1","Percepción IIBB (PBA)","501.96","0002-00066695","2026-08-13"
"1","Percepción IIBB (CABA)","1254.90","0002-00066695","2026-08-13"
"10","PASOS JUNIN - RUTA 188 KM 152,20","54545.45","0104-14909619","2026-08-14"
"1","IVA 21%","11454.55","0104-14909619","2026-08-14"
"1","Percepción IIBB (PBA)","218.18","0104-14909619","2026-08-14"
"1","Percepción IIBB (CABA)","545.45","0104-14909619","2026-08-14"
"50","PASOS LARENA - RUTA 8 KM 65","185950.41","0104-14769477","2026-08-13"
"32","PASOS SOLIS - RUTA 8 KM 102","131404.96","0104-14769477","2026-08-13"
"3","PASOS V. TUERTO (RN8) - RUTA 8 KM 381","16115.70","0104-14769477","2026-08-13"
"1","IVA 21%","70028.93","0104-14769477","2026-08-13"
"1","Percepción IIBB (PBA)","1333.88","0104-14769477","2026-08-13"
"1","Percepción IIBB (CABA)","3334.71","0104-14769477","2026-08-13"
"27","PASOS 9 DE JULIO - RUTA 5 KM. 244","165417.30","0001-00028108","2026-08-13"
"40","PASOS OLIVERA - RUTA 5 KM. 86","172802.03","0001-00028108","2026-08-13"
"26","PASOS TRENQUE LAUQUEN - RUTA 5 KM 429","152124.83","0001-00028108","2026-08-13"
"1","IVA 21%","102972.27","0001-00028108","2026-08-13"
"21","PASOS COLONIA VICTORIA - RN 12 - Km 1551 - C. VICTORIA - MISIONES","102892.56","0104-14906008","2026-08-14"
"1","PASOS PUENTE GRAL. BELGRANO - RN 16 - Km 5.00 - BARRANQUERAS - CHACO","4958.68","0104-14906008","2026-08-14"
"16","PASOS SANTA ANA - RN 12 - Km 1375 - SANTA ANA - MISIONES","81818.18","0104-14906008","2026-08-14"
"1","IVA 21%","39830.58","0104-14906008","2026-08-14"
"1","Percepción IIBB (PBA)","758.68","0104-14906008","2026-08-14"
"1","Percepción IIBB (CABA)","1896.69","0104-14906008","2026-08-14"
"5","PASOS JUNIN (R7) - RUTA 7 KM. 272","28512.40","0104-14886440","2026-08-14"
"5","PASOS VILLA ESPIL - RUTA 7 KM. 88","29752.07","0104-14886440","2026-08-14"
"1","IVA 21%","12235.53","0104-14886440","2026-08-14"
"1","Percepción IIBB (PBA)","233.06","0104-14886440","2026-08-14"
"1","Percepción IIBB (CABA)","582.64","0104-14886440","2026-08-14"
"37","PASOS CARCARAÑA - AUTOVIA ROSARIO - CORDOBA KM. 356","194628.10","0104-14825113","2026-08-14"
"22","PASOS JAMES CRAIK - AUTOVIA ROSARIO - CORDOBA KM. 595","111570.25","0104-14825113","2026-08-14"
"114","PASOS LAGOS - RUTA 9 KM. 272","588842.98","0104-14825113","2026-08-14"
"428","PASOS ZARATE - RUTA 9 KM. 95","2018181.82","0104-14825113","2026-08-14"
"1","IVA 21%","611776.85","0104-14825113","2026-08-14"
"1","Percepción IIBB (PBA)","11652.89","0104-14825113","2026-08-14"
"1","Percepción IIBB (CABA)","29132.23","0104-14825113","2026-08-14"
"1","PASOS DEVOTO - RUTA 19 KM 142","4958.68","0104-14809611","2026-08-14"
"2","PASOS SAN VICENTE - RUTA 34 KM 160","12396.69","0104-14809611","2026-08-14"
"1","IVA 21%","3644.63","0104-14809611","2026-08-14"
"1","Percepción IIBB (PBA)","69.42","0104-14809611","2026-08-14"
"1","Percepción IIBB (CABA)","173.55","0104-14809611","2026-08-14"
"1","PASOS CAÑUELAS - RN 3 KM 76","4430.82","0002-00459591","2026-08-15"
"1","PASOS HINOJO - RN 226 KM 276","4430.82","0002-00459591","2026-08-15"
"1","IVA 21%","1860.94","0002-00459591","2026-08-15"
"78","PASOS AGÜERO - AU.RICCHIERI KM 15,80","319118.40","0002-00325370","2026-08-14"
"1","PASOS BOULOGNE SUR MER - AU. RICCHIERI KM 16,50 DESC.","1280.02","0002-00325370","2026-08-14"
"2","PASOS DONOVAN - AU. RICCHIERI KM 17,07 ASC.","2560.03","0002-00325370","2026-08-14"
"3","PASOS EZEIZA - AU. EZE-CAÑ KM 32,40 ASC.","16147.93","0002-00325370","2026-08-14"
"1","PASOS MERCADO CENTRAL - AU. RICCHIERI KM 17,20 DESC.","5120.08","0002-00325370","2026-08-14"
"24","PASOS MONTE GRANDE - AU. EZE-CAÑ KM 32,70 DESC.","134500.45","0002-00325370","2026-08-14"
"46","PASOS TRISTAN SUAREZ - AU. EZE-CAÑ KM 37,25","252163.58","0002-00325370","2026-08-14"
"1","IVA 21%","153487.01","0002-00325370","2026-08-14"
"8","Reintegro frecuencia ZARATE (18 - 21)","-1487.60","0104-00079083","2026-08-14"
"3","Reintegro frecuencia ZARATE (22 - 29)","-929.75","0104-00079083","2026-08-14"
"1","IVA 21%","-507.65","0104-00079083","2026-08-14"
